iter	Passed	Remaining
222	910	3172
223	914	3168
224	918	3163
225	922	3158
226	926	3154
227	930	3150
228	934	3145
229	938	3140
230	942	3138
231	946	3133
232	950	3129
233	955	3126
234	958	3121
235	962	3114
236	966	3110
237	970	3105
238	974	3102
239	978	3097
240	982	3092
241	985	3088
242	989	3083
243	993	3079
244	998	3075
245	1002	3071
246	1006	3069
247	1011	3066
248	1016	3064
249	1020	3062
250	1025	3060
251	1030	3058
252	1034	3055
253	1038	3051
254	1043	3048
255	1047	3044
256	1051	3040
257	1055	3036
258	1059	3031
259	1063	3027
260	1067	3023
261	1071	3018
262	1075	3014
263	1079	3009
264	1083	3006
265	1088	3002
266	1091	2997
267	1095	2992
268	1099	2987
269	1103	2983
270	1107	2980
271	1111	2976
272	1115	2970
273	1119	2965
274	1123	2961
275	1126	2956
276	1130	2950
277	1134	2947
278	1139	2943
279	1142	2938
280	1147	2935
281	1150	2930
282	1155	2926
283	1159	2922
284	1163	2919
285	1167	2914
286	1171	2910
287	1175	2905
288	1179	2902
289	1183	2897
290	1187	2893
291	1192	2890
292	1196	2886
293	1200	2882
294	1204	2878
295	1208	2873
296	1212	2869
297	1215	2863
298	1220	2860
299	1224	2856
300	1227	2851
301	1231	2846
302	1235	2842
303	1239	2837
304	1243	2833
305	1247	2829
306	1251	2825
307	1255	2821
308	1259	2817
309	1263	2812
310	1267	2807
311	1271	2803
312	1275	2800
313	1279	2796
314	1284	2793
315	1288	2789
316	1293	2787
317	1297	2782
318	1302	2779
319	1306	2776
320	1311	2773
321	1315	2770
322	1320	2767
323	1324	2764
324	1329	2762
325	1334	2759
326	1338	2755
327	1343	2751
328	1348	2750
329	1352	2746
330	1357	2743
331	1362	2741
332	1367	2738
333	1371	2734
334	1376	2732
335	1380	2729
336	1386	2727
337	1390	2723
338	1395	2720
339	1399	2716
340	1403	2712
341	1408	2709
342	1412	2706
343	1416	2701
344	1421	2698
345	1425	2694
346	1430	2691
347	1434	2687
348	1438	2684
349	1443	2680
350	1447	2677
351	1451	2672
352	1456	2670
353	1460	2665
354	1465	2661
355	1469	2657
356	1473	2653
357	1477	2649
358	1481	2645
359	1485	2641
360	1490	2638
361	1494	2634
362	1498	2629
363	1502	2625
364	1506	2621
365	1510	2616
366	1514	2612
367	1519	2609
368	1524	2606
369	1528	2602
370	1533	2599
371	1536	2594
372	1541	2590
373	1545	2586
374	1550	2583
375	1554	2579
376	1558	2576
377	1563	2572
378	1567	2568
379	1571	2564
380	1575	2559
381	1578	2554
382	1583	2550
383	1587	2546
384	1591	2542
385	1595	2538
386	1599	2533
387	1603	2529
388	1607	2525
389	1611	2520
390	1615	2516
391	1619	2511
392	1623	2507
393	1627	2502
394	1631	2498
395	1634	2493
396	1639	2489
397	1642	2484
398	1646	2480
399	1650	2476
400	1655	2472
401	1659	2468
402	1663	2464
403	1666	2459
404	1671	2455
405	1675	2451
406	1679	2447
407	1683	2442
408	1687	2438
409	1691	2433
410	1694	2428
411	1702	2429
412	1706	2425
413	1709	2420
414	1714	2416
415	1717	2411
416	1721	2407
417	1725	2402
418	1729	2398
419	1733	2393
420	1737	2389
421	1741	2385
422	1746	2381
423	1750	2377
424	1754	2373
425	1758	2369
426	1762	2364
427	1767	2361
428	1771	2358
